Date,Demand,Temperature,Humidity,WindSpeed
2022-01-01 00:00:00,3058.28,20.3,66.07,13.04
2022-01-01 01:00:00,3046.54,22.68,55.42,12.1
2022-01-01 02:00:00,3173.38,18.78,51.78,12.29
2022-01-01 03:00:00,3302.33,22.99,58.39,9.34
2022-01-01 04:00:00,3158.4,22.91,53.96,10.39
2022-01-01 05:00:00,3178.38,23.98,62.02,11.36
2022-01-01 06:00:00,3366.53,18.9,63.38,10.64
2022-01-01 07:00:00,3278.54,16.55,64.65,11.01
2022-01-01 08:00:00,3134.86,18.39,58.44,9.72
2022-01-01 09:00:00,3204.28,19.38,66.9,4.54
2022-01-01 10:00:00,3062.26,25.22,55.36,11.35
2022-01-01 11:00:00,3013.8,26.81,60.67,10.22
2022-01-01 12:00:00,3032.8,21.26,59.31,10.25
2022-01-01 13:00:00,2765.51,20.25,69.86,14.4
2022-01-01 14:00:00,2736.11,19.17,66.04,10.71
2022-01-01 15:00:00,2810.96,22.7,60.16,8.39
2022-01-01 16:00:00,2734.12,26.79,60.99,11.38
2022-01-01 17:00:00,2846.85,25.58,67.68,10.17
2022-01-01 18:00:00,2717.8,23.64,56.24,12.23
2022-01-01 19:00:00,2674.19,23.59,49.83,8.81
2022-01-01 20:00:00,2981.97,22.72,55.16,8.37
2022-01-01 21:00:00,2844.61,20.08,57.93,8.92
2022-01-01 22:00:00,2915.36,18.01,66.8,6.54
2022-01-01 23:00:00,2814.37,20.16,65.18,9.12
2022-01-02 00:00:00,2962.77,21.53,59.78,13.18
2022-01-02 01:00:00,3080.07,15.9,62.33,8.55
2022-01-02 02:00:00,3002.11,19.8,56.46,7.29
2022-01-02 03:00:00,3196.2,17.78,70.44,8.94
2022-01-02 04:00:00,3130.35,23.3,66.07,10.44
2022-01-02 05:00:00,3181.23,18.61,60.27,8.51
2022-01-02 06:00:00,3157.04,21.24,59.63,10.14
2022-01-02 07:00:00,3395.62,18.16,63.51,10.5
2022-01-02 08:00:00,3189.07,25.05,59.71,10.0
2022-01-02 09:00:00,3052.86,15.16,50.89,9.82
2022-01-02 10:00:00,3199.47,21.69,67.67,13.53
2022-01-02 11:00:00,2946.89,16.43,65.84,10.35
2022-01-02 12:00:00,3038.1,18.73,61.86,8.42
2022-01-02 13:00:00,2769.48,20.88,57.9,11.51
2022-01-02 14:00:00,2784.39,21.03,60.05,9.88
2022-01-02 15:00:00,2895.48,20.95,46.78,10.14
2022-01-02 16:00:00,2917.85,20.71,54.46,12.03
2022-01-02 17:00:00,2841.16,18.33,68.84,12.68
2022-01-02 18:00:00,2805.65,19.77,62.59,7.72
2022-01-02 19:00:00,2793.92,20.35,50.26,13.46
2022-01-02 20:00:00,2696.15,20.85,55.86,9.87
2022-01-02 21:00:00,2803.81,20.06,50.37,9.88
2022-01-02 22:00:00,2871.15,22.45,56.1,7.98
2022-01-02 23:00:00,3071.16,20.54,59.17,11.49
2022-01-03 00:00:00,3060.17,20.9,68.01,7.16
2022-01-03 01:00:00,2901.27,19.15,63.93,11.08
2022-01-03 02:00:00,3158.22,17.14,58.49,13.3
2022-01-03 03:00:00,3128.72,20.76,58.73,9.37
2022-01-03 04:00:00,3131.32,23.92,56.0,12.16
2022-01-03 05:00:00,3280.16,21.63,65.45,10.16
2022-01-03 06:00:00,3328.91,17.85,66.05,7.22
2022-01-03 07:00:00,3312.12,22.74,53.31,10.24
2022-01-03 08:00:00,3115.09,19.29,51.4,9.63
2022-01-03 09:00:00,3136.31,22.44,58.41,11.79
2022-01-03 10:00:00,3158.94,19.19,59.02,9.27
2022-01-03 11:00:00,3175.13,21.36,61.29,11.0
2022-01-03 12:00:00,2977.89,18.74,51.63,7.89
2022-01-03 13:00:00,2955.48,18.82,56.42,10.86
2022-01-03 14:00:00,2815.18,15.6,59.59,10.05
2022-01-03 15:00:00,2764.77,21.84,56.11,9.74
2022-01-03 16:00:00,2933.86,21.41,64.29,10.06
2022-01-03 17:00:00,2968.25,21.58,69.34,9.42
2022-01-03 18:00:00,2818.61,21.13,57.31,10.28
2022-01-03 19:00:00,2932.98,18.01,64.45,9.61
2022-01-03 20:00:00,2888.77,23.2,58.21,8.05
2022-01-03 21:00:00,2819.88,23.28,55.35,7.41
2022-01-03 22:00:00,2961.95,17.93,56.44,9.01
2022-01-03 23:00:00,3127.85,21.9,63.84,9.37
2022-01-04 00:00:00,3030.82,22.97,56.79,3.99
2022-01-04 01:00:00,3242.63,18.93,57.77,10.04
2022-01-04 02:00:00,2872.43,19.45,54.28,14.41
2022-01-04 03:00:00,3258.01,21.94,63.17,11.38
2022-01-04 04:00:00,3216.31,15.81,62.29,9.66
2022-01-04 05:00:00,3197.69,17.08,67.28,8.37
2022-01-04 06:00:00,3243.58,17.37,62.98,6.6
2022-01-04 07:00:00,3028.83,14.95,62.06,11.78
2022-01-04 08:00:00,3185.64,23.6,62.92,10.85
2022-01-04 09:00:00,3211.53,14.38,58.72,7.53
2022-01-04 10:00:00,3282.19,21.37,60.55,11.93
2022-01-04 11:00:00,3034.34,22.78,64.66,11.68
2022-01-04 12:00:00,2953.55,19.46,55.9,8.66
2022-01-04 13:00:00,2932.46,18.34,68.51,9.42
2022-01-04 14:00:00,3025.94,21.04,63.19,10.5
2022-01-04 15:00:00,2925.85,20.35,70.11,11.11
2022-01-04 16:00:00,2808.22,23.35,54.12,7.81
2022-01-04 17:00:00,2892.54,12.46,54.12,11.13
2022-01-04 18:00:00,2844.11,17.59,61.86,10.12
2022-01-04 19:00:00,2938.08,22.03,60.62,12.22
2022-01-04 20:00:00,2790.99,20.49,57.71,11.53
2022-01-04 21:00:00,2860.21,22.6,53.65,10.12
2022-01-04 22:00:00,2895.19,21.13,58.66,11.83
2022-01-04 23:00:00,2836.29,19.94,61.09,6.98
2022-01-05 00:00:00,3072.59,19.48,53.46,9.25
2022-01-05 01:00:00,3120.85,27.36,57.95,8.05
2022-01-05 02:00:00,3143.49,24.99,61.91,8.89
2022-01-05 03:00:00,3160.95,21.88,63.94,8.86
2022-01-05 04:00:00,3074.65,20.62,58.57,7.47
2022-01-05 05:00:00,3194.1,22.0,55.99,11.91
2022-01-05 06:00:00,3208.71,22.87,60.58,11.5
2022-01-05 07:00:00,3155.94,21.65,58.97,8.79
2022-01-05 08:00:00,3200.06,18.13,52.67,5.37
2022-01-05 09:00:00,3224.81,25.74,57.75,8.99
2022-01-05 10:00:00,3331.6,21.13,57.05,9.9
2022-01-05 11:00:00,3112.2,26.43,60.11,12.71
2022-01-05 12:00:00,3068.74,20.95,56.33,8.87
2022-01-05 13:00:00,2983.77,19.65,57.26,11.96
2022-01-05 14:00:00,2751.11,24.54,59.09,8.99
2022-01-05 15:00:00,2898.91,21.29,63.19,11.14
2022-01-05 16:00:00,2875.8,20.79,60.46,11.62
2022-01-05 17:00:00,3096.12,16.79,73.32,11.16
2022-01-05 18:00:00,2823.75,22.37,53.68,8.09
